Info - Ticker;Company;Info - Sector;Info - Industry;Market Cap - Current;P/E - Current;Current r. - Current;Debt-Equity - Current;FCF margin - Average 3y;ROA - Average 5y;MA - MA 50d;MA - MA 200d;Info - Report;F-Score - Point;FS & G & Div. - Point;Earnings - Stable 5y;Dividend - Stable 5y;OP Cash F. - Stable 5y;Price / MA - MA 200d;RSI - RSI(14);Performance - Perform. 1y;Performance - Perform. 1m;Performance - Perform. 6m;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value
AENA;Aena SME SA;Industrials;Airlines;38671;18,1;1,9;1,0;25,8%;7,0%;26,19;24,15;Q4-2025;8;19;3;2;5;6,4%;44,6;19,4%;-9,5%;4,2%;25,70;EUR;EUR;1,42;9,3%;79,6%;27,20
ACA;Arcosa Inc;Industrials;Construction & Infrastructure;5178;24,9;2,2;0,9;6,9%;4,0%;115,81;100,81;Q4-2025;9;18;5;5;5;5,0%;37,5;31,2%;-16,9%;12,5%;105,88;USD;USD;4,25;4,7%;14,1%;82,34
AZK;Azkoyen SA;Industrials;Industrial Components;218;12,6;1,9;0,5;11,1%;8,0%;8,85;8,76;Q4-2025;8;22;5;4;5;1,8%;50,5;20,5%;-0,4%;3,7%;8,92;EUR;EUR;0,71;12,6%;22,3%;14,02
AKK;Azkoyen SA;Industrials;Industrial Components;217;12,5;1,9;0,5;11,1%;8,0%;8,74;8,68;Q4-2025;8;21;5;2;5;2,3%;52,0;21,0%;0,7%;6,5%;8,88;EUR;EUR;0,71;12,6%;22,3%;14,02
AZZ;AZZ Inc;Industrials;Business Support & Services;3714;11,6;1,7;0,7;17,4%;7,0%;126,88;110,56;Q3-2026;7;18;5;5;5;12,1%;42,7;43,3%;-11,6%;8,3%;123,96;USD;USD;10,73;7,9%;47,6%;141,50
BKR;Baker Hughes Co;Energy;Oil & Gas - Services;54528;21,1;1,4;1,2;7,9%;3,4%;57,09;47,81;Q4-2025;7;12;2;5;5;15,4%;37,1;28,8%;-9,8%;16,9%;55,19;USD;USD;2,62;6,0%;16,8%;44,55
BORG;Björn Borg;Consumer Durables;Clothing & Footwear;1632;17,7;1,4;1,0;7,7%;11,1%;61,91;61,00;Q4-2025;7;18;5;5;5;6,4%;53,8;21,8%;6,4%;3,2%;64,90;SEK;SEK;3,66;19,1%;37,3%;77,51
CCL.B;CCL Industries Inc;Materials;Packaging;15101;18,8;1,4;0,8;9,2%;7,5%;87,12;82,23;Q4-2025;7;20;5;5;5;5,1%;46,6;20,6%;0,1%;7,4%;86,44;CAD;CAD;4,59;10,3%;9,2%;71,64
CRBN;Corbion NV;Materials;Chemicals;1101;14,7;1,9;0,9;5,4%;4,7%;19,89;18,35;Q4-2025;8;15;5;5;5;3,5%;40,4;-8,9%;-10,8%;12,3%;18,99;EUR;EUR;1,29;7,0%;0,8%;22,22
CSUA;Corbion NV;Materials;Chemicals;1109;14,8;1,9;0,9;5,4%;4,7%;19,80;18,32;Q4-2025;8;15;5;5;5;4,4%;45,7;-4,1%;-10,2%;11,6%;19,12;EUR;EUR;1,29;7,0%;0,8%;22,22
CLB;Core Laboratories Inc;Energy;Oil & Gas - Services;727;22,9;2,1;1,1;5,1%;4,9%;18,22;14,38;Q4-2025;7;12;4;5;5;9,7%;31,4;3,5%;-15,0%;22,7%;15,77;USD;USD;0,69;6,0%;18,3%;19,75
HJ1;Core Laboratories Inc;Energy;Oil & Gas - Services;613;22,8;2,1;1,1;5,1%;4,9%;15,40;12,22;Q4-2025;7;12;4;5;5;8,8%;29,9;-4,3%;-14,2%;25,5%;13,30;EUR;USD;0,69;6,0%;18,3%;19,65
CMRE;Costamare Inc;Industrials;Marine & Sea;1990;5,4;1,7;0,8;10,3%;9,0%;16,54;13,09;Q4-2025;8;21;5;5;5;26,5%;48,4;117,7%;-2,2%;34,3%;16,56;USD;USD;3,09;11,9%;80,5%;45,99
CTS;CTS Corp;Technology;Semiconductors;1358;20,8;2,3;0,4;15,0%;5,1%;50,68;43,99;Q4-2025;8;17;4;5;5;4,6%;31,5;8,4%;-19,9%;10,4%;46,01;USD;USD;2,21;7,2%;15,6%;49,92
ENS;EnerSys;Industrials;Electrical Components;6173;19,8;2,7;1,1;8,7%;6,7%;169,25;126,25;Q3-2026;7;18;5;5;4;28,3%;46,6;69,5%;-9,6%;50,2%;161,95;USD;USD;8,19;9,5%;19,4%;131,85
ESSITY B;Essity B;Food and Beverage;Personal Products;182065;14,3;1,3;0,9;12,1%;5,3%;270,55;260,46;Q4-2025;8;19;5;5;5;0,9%;40,4;-12,2%;-7,3%;5,8%;262,70;SEK;SEK;18,37;8,1%;4,8%;277,65
EXPD;Expeditors International of;Industrials;Rail & Highway;19392;23,9;1,8;1,1;8,7%;18,6%;153,91;132,73;Q4-2025;7;20;5;5;5;7,6%;42,8;24,0%;-2,5%;14,4%;142,79;USD;USD;5,97;64,0%;7,6%;121,88
GML0;Global Industrial Co;Industrials;Industrial Components;991;16,3;2,2;0,9;5,8%;14,5%;24,92;25,31;Q4-2025;7;11;5;2;5;1,9%;53,9;31,0%;-3,0%;-13,4%;25,80;EUR;USD;1,86;25,3%;1,9%;47,90
GSL;Global Ship Lease Inc;Industrials;Marine & Sea;1346;3,4;2,2;0,6;26,3%;13,3%;37,60;32,22;Q3-2025;7;19;5;4;5;17,4%;46,7;62,7%;-0,9%;18,3%;37,82;USD;USD;11,14;16,9%;39,8%;152,29
IM4;IMC SA;Food and Beverage;Farming;244;3,8;6,0;0,7;21,5%;9,8%;7,00;6,36;Q3-2025;8;19;3;2;5;7,8%;49,3;9,9%;-5,5%;12,1%;6,86;EUR;USD;2,12;12,2%;17,2%;21,75
DNR;Industrie De Nora SpA;Industrials;Electrical Components;1391;15,2;4,3;0,3;5,1%;8,9%;7,25;6,99;Q3-2025;7;16;5;2;4;0,1%;43,3;0,1%;-5,8%;7,1%;7,00;EUR;EUR;0,46;13,6%;23,2%;13,53
IDCC;InterDigital Inc;Technology;IT Services;9242;22,7;1,8;0,9;37,2%;11,9%;344,49;311,39;Q4-2025;8;21;5;5;5;15,1%;50,5;65,1%;-4,5%;10,7%;358,31;USD;USD;15,77;137,0%;61,0%;303,04
H4W;Jardine Matheson Holdings Ltd;Industrials;Industrial Components;19448;20,3;1,5;1,1;9,8%;0,8%;64,13;53,71;Q4-2025;7;17;3;5;5;23,2%;53,7;65,0%;1,5%;30,2%;66,15;EUR;USD;3,78;1,1%;40,8%;48,65
KRX;Kingspan Group PLC;Industrials;Construction Supplies;13087;19,5;1,4;1,1;7,5%;7,6%;76,04;71,85;Q4-2025;7;16;5;4;5;0,4%;37,2;-8,7%;-10,5%;5,9%;72,15;EUR;EUR;3,70;11,5%;12,4%;56,72
KCR;Konecranes;Industrials;Industrial Machinery;7134;17,8;1,4;1,2;11,3%;5,9%;96,21;81,12;Q4-2025;9;21;5;5;5;11,0%;39,7;32,3%;-6,6%;24,2%;90,05;EUR;EUR;5,05;12,5%;26,7%;80,92
