Börsdata ID;Company;Info - Ticker;Info - Sector;Canslim - Point;Info - Country;Market Cap - Current;P/E - Current;P/B - Current;FCF margin - Current;FCF growth - Growth 5y;Price / MA - MA 20d;MA -  50/200;Info - Report Currency;Revenue g. - Growth 1y;ROIC - Current;F-Score - Point;Earnings/share - Average 5y;Div. Yield - Current;Debt-Equity - Current;Dividend - Stable 5y;Performance - Perform. 1m;Performance - Perform. 1y;EV/EBITDA - Current;Info - Price Currency;Stock price - Current;RS Rank - L - 0-100;Div. Payout - Average 3y;Gross marg - Average 1y;Earnings/share - Current;ROIC - Average 5y;Earnings g. - Growth 5y
3;ABB;ABB;Industrials;;Sweden;1777210;37,8;12,7;11.0%;-5.2%;8.3%;15.3%;USD;8.7%;21.8%;9;2,14;1.2%;1,9;5;18.3%;87.9%;25,7;SEK;974,8;91;46%;39.9%;2,72;18.6%;3.3%
8;Addtech;ADDT B;Industrials;;Sweden;89204;42,6;11,7;8.6%;56.7%;-2.8%;0.3%;SEK;6.9%;17.0%;9;6,06;1.0%;1,4;5;3.2%;-1.8%;23,8;SEK;327;55;45%;32.3%;7,68;16.0%;24.0%
18;AstraZeneca;AZN;Health Care;;Sweden;2606449;26,5;5,8;11.4%;27.0%;-5.6%;8.5%;USD;9.9%;14.1%;9;4,76;1.8%;1,4;5;-11.7%;24.9%;15;SEK;1680,5;69;53%;81.8%;6,7;10.5%;145.7%
24;Axfood;AXFO;Food and Beverage;;Sweden;60217;24,9;9,8;5.2%;43.5%;-7.3%;5.2%;SEK;5.7%;11.8%;9;10,82;3.2%;4,8;5;-13.1%;3.6%;9,8;SEK;277,7;46;83%;14.8%;11,17;12.6%;1.7%
45;Byggmax;BMAX;Consumer Durables;;Sweden;2741;14,1;1,1;12.0%;16.7%;-7.9%;-1.1%;SEK;0.6%;5.2%;9;2,7;3.4%;1,4;4;-16.7%;-4.7%;5,2;SEK;46,75;32;54%;35.6%;3,31;4.2%;-20.2%
156;NIBE Industrier;NIBE B;Industrials;;Sweden;86126;37,8;2,8;4.8%;-1.7%;0.7%;1.9%;SEK;0.8%;4.9%;9;1,58;0.8%;1,1;5;7.4%;1.0%;16,5;SEK;42,72;70;37%;29.5%;1,13;8.1%;-4.5%
348;TagMaster;TAGM B;Technology;504;Sweden;489;14,2;1,8;15.6%;65.6%;14.4%;35.4%;SEK;17.2%;12.4%;9;1,36;;0,8;;25.1%;199.6%;5,5;SEK;33,4;98;;69.2%;2,35;7.1%;42.5%
380;Scandi Standard;SCST;Food and Beverage;;Sweden;9711;24;3,4;1.0%;1.0%;-4.7%;31.0%;SEK;8.7%;7.9%;9;4,41;2.2%;1,8;4;-6.8%;60.3%;10,7;SEK;147;91;57%;39.5%;6,13;6.1%;30.9%
557;Railcare;RAIL;Industrials;;Sweden;852;18,5;2,7;18.1%;15.6%;15.0%;2.9%;SEK;10.8%;6.3%;9;1,63;2.0%;2,4;5;25.2%;35.8%;6,2;SEK;35,3;82;45%;72.4%;1,91;7.3%;2.6%
674;Hiab;HIAB;Industrials;;Finland;3329;24,6;3,4;11.1%;-15.4%;6.7%;-8.7%;EUR;-25.1%;22.0%;9;2,52;2.3%;0,8;5;13.6%;20.9%;12,9;EUR;51,45;68;74%;29.4%;2,09;16.3%;-11.4%
714;Alma Media;ALMA;Consumer Durables;;Finland;1071;17,8;4,1;23.6%;19.9%;2.5%;-5.1%;EUR;4.8%;16.0%;9;0,72;3.7%;1,1;5;-3.3%;12.6%;11,7;EUR;13;57;70%;89.7%;0,73;15.6%;6.6%
720;Luotea;LUOTEA;Industrials;;Finland;82;4,5;2;7.2%;89.5%;-17.8%;-63.4%;EUR;-25.1%;40.7%;9;0,41;3.3%;2,4;5;-18.2%;-77.0%;1,4;EUR;2,11;3;-254%;25.2%;0,47;11.6%;-12.0%
