Info - Ticker;Company;P/E - Current;Info - Sector;Info - Country;Info - Industry;Info - Ticker;ROE - Current;Debt-Equity - Current;FCF margin - Current;Market Cap - Current USD;Performance - Perform. 1y;RS Rank - L - 0-100;Price / MA - MA 50d;Price / MA - MA 150d;Price / MA - MA 200d;MA - 50/150;MA -  50/200;MA - 150/200;MA200 - Trend 1m;Stock price - Price/L 1y;Stock price - Price/H 1y;FS & G & Div. - Point;Earnings - Stable 5y;OP Cash F. - Stable 5y;Stock price - Current;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value
AEP;AEP Plantations PLC;9,7;Food and Beverage;UK;Farming;AEP;15,30%;0,1;18,00%;803,1;124,90%;95;7,40%;17,30%;30,00%;9,20%;21,00%;10,80%;7,60%;131%;1%;23;5;5;16,15;16,15;GBP;USD;2,24;22,80%;22,70%;26,39
CRUS;Cirrus Logic Inc;17,3;Technology;USA;Semiconductors;CRUS;19,20%;0,2;30,80%;6987,2;35,50%;76;1,40%;8,00%;12,80%;6,50%;11,20%;4,40%;3,20%;78%;8%;19;5;5;135,22;135,22;USD;USD;7,83;20,50%;15,90%;103
CTRA;Coterra Energy Inc;14,4;Energy;USA;Oil & Gas -Exploration;CTRA;11,60%;0,6;21,40%;24633,6;17,20%;79;11,50%;23,50%;25,00%;10,80%;12,10%;1,20%;2,60%;45%;1%;18;5;5;32,37;32,37;USD;USD;2,25;10,30%;35,10%;37,88
B7C0;dAmico International Shipping SA;11,5;Industrials;Germany;Marine & Sea;B7C0;11,60%;0,4;14,90%;967,5;118,20%;88;15,50%;44,20%;56,50%;24,90%;35,50%;8,50%;9,40%;173%;8%;17;4;5;7,38;7,38;EUR;USD;0,74;14,20%;41,60%;10,44
DAC;Danaos Corp;4,1;Industrials;USA;Marine & Sea;DAC;13,00%;0,3;33,40%;2040,6;39,10%;78;5,00%;14,30%;16,50%;8,90%;11,00%;1,90%;2,90%;69%;7%;16;5;5;110,71;110,71;USD;USD;26,83;20,70%;32,70%;388,82
ELG;Elmos Semiconductor SE;19,5;Technology;Germany;Semiconductors;ELG;20,10%;0,3;1,00%;2657,7;111,40%;88;14,70%;42,60%;47,10%;24,30%;28,20%;3,10%;7,90%;195%;8%;18;5;5;140,8;140,8;EUR;EUR;7,23;18,60%;83,20%;132
ESP;Espey Manufacturing & Electronics;15,5;Industrials;USA;Electrical Components;ESP;18,10%;0,6;28,50%;148,8;105,90%;87;1,90%;20,00%;21,00%;17,80%;18,80%;0,80%;5,40%;123%;11%;12;4;5;55,49;55,49;USD;USD;3,59;52,70%;115,90%;87,6
MAU;Etablissements Maurel & Prom;10,3;Energy;France;Oil & Gas -Exploration;MAU;19,70%;0,7;14,00%;2309,6;96,30%;97;38,00%;80,80%;86,90%;31,00%;35,40%;3,40%;8,80%;171%;3%;17;4;5;10,54;10,54;EUR;USD;1,18;15,90%;19,10%;12,46
ETX;Etablissements Maurel & Prom;10,2;Energy;Germany;Oil & Gas -Exploration;ETX;19,70%;0,7;14,00%;2270,2;92,90%;91;36,90%;78,90%;84,80%;30,70%;35,10%;3,30%;8,70%;156%;5%;17;4;5;10,36;10,36;EUR;USD;1,18;15,90%;19,10%;12,46
ESEA;Euroseas Ltd;3,4;Industrials;USA;Marine & Sea;ESEA;29,60%;0,5;28,10%;462,3;151,30%;89;13,20%;13,30%;19,40%;0,10%;5,40%;5,40%;5,40%;153%;9%;18;5;5;66,58;66,58;USD;USD;19,73;32,50%;102,50%;150,98
XOM;Exxon Mobil Corp;23,5;Energy;USA;Oil & Gas -Exploration;XOM;11,10%;0,7;7,30%;676886,9;40,50%;86;10,70%;27,10%;30,90%;14,80%;18,20%;2,90%;3,90%;61%;1%;15;4;5;157,23;157,23;USD;USD;6,7;11,80%;26,80%;136,15
5F1;First Resources Ltd;9,5;Food and Beverage;Germany;Food Processing;5F1;23,10%;0,8;2,90%;3141,1;64,40%;85;25,50%;41,70%;50,90%;12,90%;20,20%;6,50%;5,60%;98%;0%;20;5;5;1,84;1,84;EUR;USD;0,23;16,20%;29,40%;3,26
