Info - Ticker;Company;;Info - Industry;Canslim - 0-100;Earnings g. - Y-Y Growth;Earnings g. - Growth 1y;Earnings g. - Growth 3y;Revenue g. - Growth 3y;RS Rank - L - 0-100;RS Rank - L - Industry;Volume Rank - 0-100;Trend - Price/H-L 1y;Market Cap - Current SEK;Performance - Perform. 1m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Average 5y;ROIC - Average 5y;Earnings g. - Growth 5y;Fair Value
AMD;Advanced Micro Devices Inc;;Semiconductors;72;233,3%;160,4%;45,7%;13,6%;83;61;34;63%;3262693,0;-5,2%;94,7%;196,58;USD;USD;1,53;16,7%;4,6%;163,13
ALK B;ALK-Abello;;Pharmaceuticals;57;55,6%;46,7%;52,6%;11,8%;70;44;86;77%;71666,9;-2,3%;49,5%;213,00;DKK;DKK;6,49;11,0%;116,0%;451,69
APH;Amphenol Corp;;Semiconductors;49;58,1%;74,6%;30,1%;22,3%;86;61;44;73%;1703161,0;-6,8%;117,1%;136,80;USD;USD;2,01;17,7%;28,3%;84,81
APP;AppLovin Corp;;Advertising;71;84,2%;116,5%;178,0%;24,8%;48;35;40;46%;1569479,3;16,1%;54,8%;453,30;USD;USD;3,08;28,8%;94,7%;108,90
BIOA B;BioArctic;;Biotechnology;94;71,9%;675,2%;352,8%;106,1%;86;49;59;78%;28265,9;-1,7%;51,0%;318,60;SEK;SEK;2,13;36,7%;75,9%;57,14
BTDR;Bitdeer Technologies Group;;IT Services;43;109,6%;107,3%;37,3%;23,0%;20;33;77;6%;17152,9;-18,7%;-20,8%;8,20;USD;USD;-0,87;81,8%;21,4%;-7,58
CAMB;Campine NV;;Energy & Recycling;50;226,5%;209,4%;44,2%;22,3%;38;42;22;28%;3099,6;-7,5%;12,5%;184,50;EUR;EUR;15,02;24,7%;76,2%;336,21
CLS;Celestica Inc;;Semiconductors;77;79,2%;99,4%;82,9%;19,6%;91;61;15;70%;318783,4;-3,6%;195,4%;270,53;USD;USD;2,98;14,1%;72,7%;74,97
FIX;Comfort Systems USA Inc;;Construction & Infrastructure;93;128,8%;97,6%;61,7%;30,0%;97;58;51;93%;510867,3;5,7%;314,5%;1414,10;USD;USD;12,68;27,0%;47,7%;393,92
DBO;D-Box Technologies Inc;;Electronic Equipment;97;485,7%;305,6%;172,6%;14,7%;84;34;75;63%;1161,4;-15,0%;300,0%;0,68;CAD;CAD;0,02;18,9%;32,5%;0,69
