Info - Ticker;Company;P/E - Current;Info - Sector;Info - Country;Info - Industry;FCF margin - Current;Debt-Equity - Current;Profit marg - Current;P/E - Current;Market Cap - Current USD;Canslim - 0-100;Earnings g. - Y-Y Growth;Earnings g. - Growth 1y;Earnings g. - Growth 3y;MA - MA 50d;MA - MA 200d;Revenue g. - Growth 3y;RS Rank - L - 0-100;RS Rank - L - Industry;Volume Rank - 0-100;Trend - Price/H-L 1y;Market Cap - Current SEK;Performance - Perform. 1m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Average 5y;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value
AMD;Advanced Micro Devices Inc;75,8;Technology;USA;Semiconductors;19,40%;0,2;12,30%;75,8;323923;74;233,30%;160,40%;45,70%;214,8;193,22;13,60%;85;60;30;65%;3310493;-0,30%;90,70%;199,46;USD;USD;1,53;16,70%;4,60%;163,13
AGYS;Agilysys Inc;62;Technology;USA;IT Services;19,10%;0,5;9,80%;62;1880,7;15;150,00%;43,40%;28,00%;88,45;108,42;16,20%;16;33;78;5%;19220,3;-15,40%;-9,80%;67,54;USD;USD;1,19;27,50%;25,20%;76,63
ALK B;ALK-Abello;37,9;Health Care;Denmark;Pharmaceuticals;22,70%;0,4;19,00%;37,9;6838,5;43;55,60%;46,70%;52,60%;217,16;208,59;11,80%;68;45;84;69%;68840,6;-7,00%;41,80%;204,6;DKK;DKK;6,49;11,00%;116,00%;451,69
GOOG;Alphabet Inc;28,1;Technology;USA;Online Services;18,20%;0,4;32,80%;28,1;3711131;23;31,30%;34,20%;33,50%;318,69;259,85;12,50%;85;34;32;79%;37927760;0,80%;83,90%;306,3;USD;USD;7,03;38,20%;29,80%;289,77
GOOGL;Alphabet Inc;28,2;Technology;USA;Online Services;18,20%;0,4;32,80%;28,2;3727972;21;31,30%;34,20%;33,50%;318,54;259,23;12,50%;86;34;27;80%;38099872;1,40%;87,30%;307,69;USD;USD;7,03;38,20%;29,80%;235,2
BIOA B;BioArctic;26,2;Health Care;Sweden;Biotechnology;26,80%;0,3;51,10%;26,2;2684,6;87;71,90%;675,20%;352,80%;318,06;275,88;106,10%;85;49;21;71%;26846,4;-13,20%;45,50%;302,6;SEK;SEK;2,13;36,70%;75,90%;57,14
BIRK;Birkenstock Holding PLC;15,4;Consumer Durables;USA;Clothing & Footwear;12,30%;0,8;17,70%;15,4;6801,4;27;145,50%;73,50%;71,90%;39,58;44,73;12,70%;30;44;28;4%;69510,4;-12,30%;-17,20%;36,66;USD;EUR;1,26;5,60%;26,80%;42,15
7PV;Birkenstock Holding PLC;16,2;Consumer Durables;Germany;Clothing & Footwear;12,30%;0,8;17,70%;16,2;6693,8;19;145,50%;73,50%;71,90%;33,59;38,2;12,70%;22;44;35;10%;68155,1;-7,10%;-19,10%;32,8;EUR;EUR;1,26;5,60%;26,80%;32,48
BITTI;Bittium;57,6;Technology;Finland;Communications;3,90%;0,5;17,90%;57,6;1356,9;100;298,20%;193,30%;314,80%;34,13;19,41;13,10%;99;60;85;75%;13815,2;-4,00%;305,50%;34,55;EUR;EUR;0,15;4,20%;57,60%;6,17
BBD;Bombardier Inc;19,8;Industrials;Germany;Military & Defense;11,20%;-16,3;10,20%;19,8;17403,8;97;453,40%;177,40%;97,70%;158,18;117,67;11,40%;89;64;63;88%;177201,9;3,20%;193,60%;160;EUR;USD;2,66;6,00%;46,70%;121,09
BBD.B;Bombardier Inc;18,8;Industrials;Canada;Military & Defense;11,20%;-16,3;10,20%;18,8;17881,8;85;453,40%;177,40%;97,70%;255,01;198,01;11,40%;81;64;16;82%;183167,1;-9,10%;192,80%;244,37;CAD;USD;2,66;6,00%;46,70%;121,09
CRS;Carpenter Technology Corp;44,6;Industrials;USA;Industrial Components;10,80%;0,8;14,80%;44,6;19431,6;60;25,80%;61,60%;96,20%;361,72;297,75;4,90%;90;48;18;91%;198591,2;4,10%;110,50%;387,47;USD;USD;4,01;7,30%;30,80%;139,38
