Info - Ticker;Company;Info - Country;Info - Industry;Info - Sector;ROE - Current;FCF margin - Current;Debt-Equity - Current;P/E - Current;Market Cap - Current USD;Info - Report;Dividend - Point;MA - MA 50d;MA - MA 200d;Div. Yield - Current;Dividend - Stable 10y;Dividend - Stable 5y;Dividend g. - Growth 5y;Revenue g. - Growth 5y;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value
AOS;A.O. Smith Corp;USA;Industrial Machinery;Industrials;29,4%;14,3%;0,7;17,3;9423,2;Q4-2025;9;73,62;69,96;2,1%;10;5;7,1%;5,8%;-0,7%;66,40;USD;USD;3,85;24,4%;12,5%;80,18
AEP;AEP Plantations PLC;UK;Farming;Food and Beverage;15,3%;18,0%;0,1;9,7;803,1;Q2-2025;9;15,03;12,43;2,4%;10;5;154,2%;10,2%;124,9%;16,15;GBP;USD;2,24;22,8%;22,7%;26,39
ARLP;Alliance Resource Partners LP;USA;Fuel - Coal;Energy;16,9%;17,3%;0,5;11,4;3523,0;Q4-2025;11;25,38;24,94;9,5%;10;5;45,4%;10,6%;8,9%;27,44;USD;USD;2,40;17,7%;34,2%;41,12
ABF;Associated British Foods PLC;UK;Food Processing;Food and Beverage;9,3%;5,1%;0,7;13,2;17008,7;Q4-2025;7;19,15;20,86;3,4%;10;5;12,9%;6,9%;0,7%;18,65;GBP;GBP;1,42;7,0%;19,7%;23,26
BETS B;Betsson;Sweden;Gambling & Casinos;Consumer Durables;19,8%;13,7%;0,5;7,0;1403,8;Q4-2025;11;102,60;146,27;7,3%;10;5;12,7%;13,7%;-38,3%;98,35;SEK;EUR;1,29;22,9%;12,3%;282,14
BSM;Black Stone Minerals LP;USA;Oil & Gas -Exploration;Energy;26,6%;45,2%;0,2;12,1;3266,0;Q4-2025;10;14,74;13,51;8,7%;10;5;14,7%;7,3%;2,7%;15,43;USD;USD;1,28;27,2%;21,2%;23,02
BOY;Bodycote PLC;UK;Industrial Machinery;Industrials;8,6%;8,9%;0,6;20,7;1432,5;Q4-2025;7;7,50;6,61;3,6%;10;5;3,6%;4,0%;7,0%;6,43;GBP;GBP;0,31;7,1%;174,2%;11,88
CALM;Cal-Maine Foods Inc;USA;Farming;Food and Beverage;42,8%;27,8%;0,2;3,7;4249,2;Q2-2026;10;82,67;93,66;9,9%;7;5;202,9%;25,6%;5,7%;87,77;USD;USD;23,74;51,4%;258,7%;438,12
CTSH;Cognizant Technology Solutions;USA;IT Services;Technology;14,9%;12,3%;0,4;13,4;29792,4;Q4-2025;10;73,90;74,28;2,0%;8;5;7,1%;4,9%;-22,8%;61,05;USD;USD;4,57;17,0%;12,1%;81,94
COLM;Columbia Sportswear Co;USA;Clothing & Footwear;Consumer Durables;10,4%;6,4%;0,7;17,0;3008,4;Q4-2025;9;58,09;56,18;2,2%;10;5;35,8%;6,3%;-29,8%;55,02;USD;USD;3,24;17,0%;14,7%;44,93
CIX;Compx International Inc;USA;Security;Industrials;14,1%;12,1%;0,1;14,7;287,2;Q4-2025;10;23,74;24,00;5,2%;10;5;24,6%;6,7%;4,0%;23,27;USD;USD;1,58;20,7%;13,7%;32,81
CTRA;Coterra Energy Inc;USA;Oil & Gas -Exploration;Energy;11,6%;21,4%;0,6;14,4;24633,6;Q4-2025;9;29,04;25,91;2,7%;10;5;17,1%;39,1%;17,2%;32,37;USD;USD;2,25;10,3%;35,1%;37,88
