Company;Info - Ticker;Info - Sector;Info - Industry;Market Cap - Current;P/E - Current;Current r. - Current;Debt-Equity - Current;FCF margin - Average 3y;ROA - Average 5y;MA - MA 50d;MA - MA 200d;Info - Report;F-Score - Point;FS & G & Div. - Point;Earnings - Stable 5y;Dividend - Stable 5y;Div. Yield - Current;OP Cash F. - Stable 5y;Price / MA - MA 200d;Revenue g. - Growth 5y;RSI - RSI(14);Performance - Perform. 1y;Div. Payout - Average 3y;Performance - Perform. 6m;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value;
Adyen NV;ADYEN;Technology;IT Services;27998;26,3;1,7;1,3;67,6%;7,9%;1084,69;1352,03;Q4-2025;8;18;5;;;5;-34,3%;-6,2%;37,1;-42,1%;;-35,9%;888,50;EUR;EUR;33,72;-17,1%;31,3%;713,16;
Amazon.com Inc;AMZN;Consumer Durables;Retailers;2188423;28,2;1,1;1,0;3,9%;6,4%;220,87;225,04;Q4-2025;7;12;4;;;5;-8,7%;13,2%;40,3;5,0%;;-11,3%;205,37;USD;USD;7,29;12,3%;27,9%;180,62;
ASML Holding NV;ASML;Technology;Semiconductors;438306;42,9;1,2;1,3;26,2%;17,7%;1186,44;884,44;Q4-2025;8;21;5;5;0,6%;5;27,6%;18,5%;40,1;67,6%;29%;42,1%;1128,20;EUR;EUR;26,29;50,0%;25,4%;675,23;
Automatic Data Processing Inc;ADP;Technology;IT Services;84613;20,0;1,0;12,2;19,9%;6,2%;230,47;271,95;Q2-2026;7;20;5;5;3,0%;5;-23,3%;7,2%;38,2;-30,2%;60%;-28,5%;208,69;USD;USD;10,44;59,7%;11,3%;156,07;
BAE Systems PLC;BA.;Industrials;Military & Defense;67043;32,5;1,0;2,2;10,3%;5,6%;20,93;18,99;Q4-2025;9;22;5;5;1,5%;5;17,8%;8,0%;54,8;33,6%;48%;14,4%;22,37;GBP;GBP;0,69;9,9%;11,1%;18,48;
Blackstone Inc;BX;Financials;Investment Banking;86137;28,5;;4,5;40,9%;6,9%;130,58;152,07;Q4-2025;;;5;5;4,2%;5;-27,4%;18,9%;41,7;-26,2%;132%;-41,1%;110,43;USD;USD;3,87;7,3%;20,9%;121,88;
Clorox Co;CLX;Food and Beverage;Personal Products;13024;17,3;0,7;-44,6;9,7%;8,6%;115,75;116,40;Q2-2026;7;18;5;5;4,6%;5;-8,8%;-1,6%;33,5;-26,9%;122%;-12,7%;106,15;USD;USD;6,14;14,1%;1,6%;121,04;
CNH Industrial NV;CNH;Industrials;Industrial Machinery;12405;24,2;2,2;4,5;3,4%;3,5%;11,43;11,29;Q4-2025;5;15;4;4;2,5%;5;-12,0%;4,1%;23,9;-23,1%;44%;-9,4%;9,94;USD;USD;0,41;5,9%;36,5%;13,00;
Datadog Inc;DDOG;Technology;IT Services;43441;403,5;3,4;0,8;27,9%;0,7%;122,77;139,43;Q4-2025;6;11;2;;;5;-10,3%;41,5%;53,1;19,8%;;-9,9%;125,08;USD;USD;0,31;-11,5%;42,5%;72,40;
Deckers Outdoor Corp;DECK;Consumer Durables;Clothing & Footwear;14859;14,2;2,9;0,6;19,5%;23,2%;108,57;103,57;Q3-2026;6;17;5;;;5;-3,0%;16,1%;35,0;-15,6%;;-11,7%;100,43;USD;USD;7,06;81,0%;25,4%;408,94;
