Info - Ticker;Company;Info - Country;Div. Payout - Current;FCF margin - Current;Revenue g. - Growth 5y;Info - Sector;Info - Industry;Profit marg - Current;Market Cap - Current USD;Debt-Equity - Current;P/E - Current;FS & G & Div. - Point;Earnings - Stable 5y;Dividend - Stable 5y;Dividend - Current;Earnings/share - Current;Magic - Rank;MA - MA 200d;MA - MA 50d;Price / MA - MA 200d;RSI - RSI(14);Performance - Perform. 1m;Performance - Perform. 6m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value
ALFA;Alfa Laval;Sweden;45%;-3,9%;10,9%;Industrials;Industrial Components;11,9%;21600,4;1,2;26,1;17;5;5;9,00;20,01;2953;454,18;513,03;15,1%;53,2;1,2%;21,6%;14,7%;522,60;SEK;SEK;20,01;13,0%;18,8%;348,14
ALSN;Allison Transmission Holdings Inc;USA;15%;27,8%;7,7%;Consumer Durables;Auto & Equipment;20,7%;9520,5;2,3;15,3;21;5;5;1,08;7,42;1406;95,65;113,36;18,5%;44,1;-3,7%;29,3%;18,0%;113,39;USD;USD;7,42;15,0%;23,1%;121,17
AMGN;Amgen Inc;USA;66%;27,1%;7,6%;Health Care;Pharmaceuticals;21,0%;197042,5;9,5;25,6;19;5;5;9,52;14,33;4258;315,46;357,62;16,1%;48,4;-0,8%;34,1%;16,7%;366,25;USD;USD;14,33;12,3%;2,9%;289,52
CNR;Canadian National Railway Co;Canada;47%;19,6%;4,6%;Industrials;Rail & Highway;27,3%;67066,1;1,7;19,2;19;5;5;3,55;7,58;3598;136,53;141,92;6,5%;50,6;-0,7%;10,6%;3,7%;145,45;CAD;CAD;7,58;10,2%;8,6%;126,96
CCL.B;CCL Industries Inc;Canada;28%;11,3%;7,9%;Materials;Packaging;10,5%;11174,8;0,8;18,8;20;5;5;1,28;4,59;2246;82,23;87,12;5,1%;46,6;0,1%;7,4%;20,6%;86,44;CAD;CAD;4,59;10,3%;9,2%;71,64
CSCO;Cisco Systems Inc;USA;59%;20,7%;3,5%;Technology;Communications;18,8%;312483,4;1,6;28,2;19;5;5;1,64;2,80;3675;72,46;78,08;8,9%;51,6;2,7%;17,9%;30,4%;78,90;USD;USD;2,80;19,7%;2,2%;49,25
KO;Coca-Cola Co;USA;67%;11,0%;7,7%;Food and Beverage;Beverages;27,3%;334859,5;2,2;25,5;18;5;5;2,04;3,05;3835;71,02;75,60;9,6%;52,0;-1,1%;17,5%;12,5%;77,82;USD;USD;3,05;17,2%;11,1%;68,21
CMRE;Costamare Inc;USA;15%;27,6%;13,8%;Industrials;Marine & Sea;44,7%;1990,5;0,8;5,4;21;5;5;0,46;3,09;790;13,09;16,54;26,5%;48,4;-2,2%;34,3%;117,7%;16,56;USD;USD;3,09;11,9%;80,5%;45,99
DCI;Donaldson Co Inc;USA;36%;9,3%;5,6%;Industrials;Industrial Machinery;10,1%;9974,3;0,9;26,4;19;5;5;1,17;3,24;2549;84,44;99,18;1,2%;24,8;-21,9%;5,8%;24,9%;85,47;USD;USD;3,24;19,1%;7,4%;68,84
LPG;Dorian LPG Ltd;USA;86%;33,5%;5,0%;Energy;Oil & Gas -Transportation;29,9%;1321,4;0,6;10,9;15;5;4;2,45;2,84;2832;28,44;31,29;9,3%;45,4;-7,1%;-4,3%;42,9%;31,07;USD;USD;2,84;10,9%;8,8%;44,72
DOV;Dover Corp;USA;26%;13,8%;3,9%;Industrials;Industrial Machinery;13,6%;28403,1;0,8;25,9;18;5;5;2,07;8,01;3976;189,08;214,45;9,7%;39,4;-10,5%;20,2%;14,5%;207,42;USD;USD;8,01;13,8%;11,1%;189,01
EBAY;eBay Inc;USA;27%;12,9%;1,6%;Consumer Durables;Retailers;18,0%;41957,2;2,8;21,0;15;4;5;1,16;4,35;2989;86,92;89,80;5,2%;56,1;11,0%;2,9%;40,0%;91,41;USD;USD;4,35;13,8%;4,0%;66,20
EPI B;Epiroc B;Sweden;53%;13,6%;11,4%;Industrials;Industrial Machinery;13,9%;25075,8;0,9;29,0;19;5;5;3,80;7,12;3171;190,47;216,49;8,5%;39,4;-6,5%;15,2%;10,8%;206,60;SEK;SEK;7,12;20,7%;9,6%;204,71
G6O;GeoPark Ltd;Germany;49%;3,1%;4,0%;Energy;Oil & Gas -Exploration;10,4%;430,8;3,2;9,3;16;4;5;0,47;0,96;621;6,08;6,82;25,1%;58,0;11,8%;44,8%;5,6%;7,60;EUR;USD;0,96;17,6%;17,6%;17,00
GIL;Gildan Activewear Inc;USA;35%;13,6%;12,8%;Consumer Durables;Clothing & Footwear;10,9%;8963,3;1,9;22,8;17;4;5;0,90;2,57;4251;58,08;66,45;1,0%;24,1;-19,2%;7,4%;26,0%;58,65;USD;USD;2,57;16,8%;33,6%;52,46
GILD;Gilead Sciences Inc;USA;46%;34,0%;3,6%;Health Care;Pharmaceuticals;28,9%;180641,2;1,6;21,2;19;5;5;3,16;6,84;1984;122,65;140,35;18,4%;50,5;-6,3%;31,0%;30,3%;145,21;USD;USD;6,84;12,2%;132,8%;162,78
GSL;Global Ship Lease Inc;USA;18%;19,0%;21,4%;Industrials;Marine & Sea;54,4%;1346,4;0,6;3,4;19;5;4;1,95;11,14;358;32,22;37,60;17,4%;46,7;-0,9%;18,3%;62,7%;37,82;USD;USD;11,14;16,9%;39,8%;152,29
HAFNI;Hafnia Limited;Norway;60%;16,8%;10,2%;Energy;Oil & Gas -Transportation;23,9%;3267,1;0,6;9,5;15;4;4;0,40;0,66;2375;59,55;63,45;7,0%;43,1;0,2%;2,1%;41,2%;63,74;NOK;USD;0,66;16,7%;10,5%;69,95
RE0;Hafnia Ltd;Germany;59%;20,0%;21,2%;Industrials;Marine & Sea;14,9%;3204,7;0,6;10,1;16;4;4;0,40;0,68;2589;5,01;5,48;16,6%;49,9;-0,4%;10,0%;49,9%;5,85;EUR;USD;0,68;16,7%;10,6%;12,33
HEE;Hellenic Exchanges - Athens Stock;Germany;52%;55,8%;21,0%;Industrials;Information Services;39,2%;432,7;4,0;11,6;19;5;5;0,30;0,58;230;6,42;6,23;5,9%;56,9;11,7%;-0,6%;28,1%;6,80;EUR;EUR;0,58;34,7%;55,6%;10,35
HUBB;Hubbell Inc;USA;32%;15,0%;6,9%;Industrials;Electrical Components;15,2%;25144,4;1,1;28,4;19;5;5;5,38;16,63;3504;444,65;492,48;6,3%;40,9;-9,8%;8,5%;38,7%;472,64;USD;USD;16,63;13,3%;20,8%;360,26
IEX;IDEX Corp;USA;44%;17,8%;8,0%;Industrials;Industrial Machinery;14,0%;14274,6;0,7;29,6;21;5;5;2,82;6,41;4294;178,21;199,34;6,4%;33,9;-9,9%;15,7%;3,9%;189,57;USD;USD;6,41;11,1%;5,2%;190,79
ITW;Illinois Tool Works Inc;USA;59%;16,9%;5,0%;Industrials;Industrial Machinery;19,1%;78308,6;4,0;25,5;18;5;5;6,22;10,52;2433;258,68;274,39;3,9%;36,7;-10,3%;2,6%;5,6%;268,64;USD;USD;10,52;30,0%;9,6%;239,14
IDCC;InterDigital Inc;USA;15%;56,8%;18,4%;Technology;IT Services;48,8%;9242,2;0,9;22,7;21;5;5;2,35;15,77;1714;311,39;344,49;15,1%;50,5;-4,5%;10,7%;65,1%;358,31;USD;USD;15,77;137,0%;61,0%;303,04
JNJ;Johnson & Johnson;USA;46%;20,5%;2,7%;Health Care;Pharmaceuticals;28,5%;585586,7;1,4;21,8;18;5;5;5,14;11,13;3579;193,38;231,66;25,8%;57,9;-0,1%;37,8%;49,4%;243,19;USD;USD;11,13;16,9%;14,8%;192,74
LECO;Lincoln Electric Holdings Inc;USA;32%;12,6%;9,8%;Industrials;Measuring & Analysis;12,3%;14366,2;1,6;27,6;20;5;5;3,04;9,39;2766;241,04;270,69;7,6%;37,5;-11,7%;10,8%;36,1%;259,27;USD;USD;9,39;21,0%;22,1%;204,46
MATX;Matson Inc;USA;10%;4,6%;7,0%;Industrials;Marine & Sea;13,3%;4812,3;0,7;10,8;20;5;5;1,40;13,99;2137;119,63;154,69;26,5%;43,6;-6,7%;43,5%;16,3%;151,33;USD;USD;13,99;19,1%;25,6%;236,29
MRK;Merck & Co Inc;USA;44%;19,0%;6,3%;Health Care;Pharmaceuticals;28,1%;285646,2;1,6;15,6;18;5;5;3,28;7,38;1829;94,08;115,11;22,7%;44,9;-4,9%;42,3%;22,1%;115,43;USD;USD;7,38;16,1%;21,4%;161,06
MOUR;Moury Construct SA;Belgium;19%;7,5%;10,6%;Industrials;Construction & Infrastructure;11,9%;291,6;0,7;10,4;19;5;5;12,50;64,38;66;600,87;640,52;11,5%;49,7;-1,8%;17,1%;40,2%;670,00;EUR;EUR;64,38;92,3%;22,8%;883,61
6QK;MS International PLC;Germany;26%;6,2%;14,0%;Industrials;Industrial Components;12,1%;279,0;1,0;15,5;14;5;4;0,23;0,89;567;15,39;15,18;1,3%;55,8;6,8%;0,6%;30,0%;15,60;EUR;GBP;0,89;25,5%;65,2%;23,72
MWA;Mueller Water Products Inc;USA;21%;12,0%;5,4%;Industrials;Industrial Machinery;13,8%;4327,6;0,8;21,6;20;5;5;0,27;1,28;1967;25,67;27,75;7,8%;41,3;-8,2%;8,5%;1,5%;27,67;USD;USD;1,28;12,0%;23,8%;27,74
NDSN;Nordson Corp;USA;34%;22,7%;3,8%;Industrials;Industrial Machinery;18,4%;15120,6;0,9;28,9;23;5;5;3,20;9,29;4205;238,83;277,38;12,5%;37,8;-9,9%;18,8%;29,6%;268,71;USD;USD;9,29;11,4%;3,5%;208,04
ORNBV;Orion B;Finland;51%;11,5%;11,9%;Health Care;Pharmaceuticals;26,5%;10913,9;0,6;19,8;18;5;5;1,80;3,55;1572;65,93;69,32;6,6%;56,8;2,5%;7,1%;26,5%;70,30;EUR;EUR;3,55;31,0%;17,9%;51,33
PFE;Pfizer Inc;USA;126%;14,5%;8,3%;Health Care;Pharmaceuticals;12,4%;151224,6;1,4;19,4;17;5;5;1,72;1,37;2458;25,23;26,47;5,5%;47,8;-3,5%;11,3%;3,5%;26,61;USD;USD;1,37;11,2%;1,7%;29,70
4RW;Rai Way SpA;Germany;101%;32,5%;4,6%;Industrials;Construction & Infrastructure;32,0%;1733,7;1,6;17,8;19;5;5;0,33;0,33;967;5,77;5,71;1,8%;52,3;0,5%;-4,9%;3,3%;5,87;EUR;EUR;0,33;29,5%;6,6%;4,12
RL;Ralph Lauren Corp;USA;24%;8,9%;12,2%;Consumer Durables;Clothing & Footwear;11,7%;20803,9;1,7;22,6;18;4;4;3,56;15,01;2027;324,34;359,14;4,6%;42,0;-8,1%;7,8%;54,0%;339,24;USD;USD;15,01;21,2%;61,8%;264,12
SSD;Simpson Manufacturing Co Inc;USA;14%;12,8%;13,0%;Materials;Forest & Wood Products;14,8%;7436,2;0,5;21,6;18;5;5;1,15;8,27;2666;175,42;187,16;1,6%;34,8;-14,7%;-4,6%;12,7%;178,25;USD;USD;8,27;19,0%;14,1%;190,95
SPA;Spadel SA;Belgium;30%;9,9%;8,5%;Food and Beverage;Beverages;10,9%;1241,7;0,5;25,9;20;5;5;3,20;10,51;2796;218,07;254,64;24,7%;56,0;4,6%;18,3%;47,0%;272,00;EUR;EUR;10,51;15,0%;9,8%;178,50
TLK;Toll Brothers Inc;Germany;7%;12,9%;5,1%;Industrials;Homebuilding;12,3%;12911,9;0,7;10,1;23;5;5;1,00;14,04;1022;115,22;126,92;4,3%;34,9;-13,9%;-0,5%;26,3%;120,15;EUR;USD;14,04;15,4%;15,9%;206,04
TRMD A;TORM;Denmark;75%;25,9%;12,8%;Energy;Oil & Gas -Transportation;21,3%;2473,1;0,5;8,7;16;4;4;2,20;2,92;1596;137,91;161,71;17,3%;43,3;0,2%;10,4%;30,3%;161,75;DKK;USD;2,92;16,8%;19,6%;227,91
UNP;Union Pacific Corp;USA;45%;22,4%;4,6%;Industrials;Rail & Highway;29,1%;144115,0;2,8;20,2;21;5;5;5,44;12,00;3209;231,41;246,18;4,7%;34,6;-7,1%;12,1%;2,0%;242,21;USD;USD;12,00;11,2%;8,7%;234,50
WAWI;Wallenius Wilhelmsen;Norway;87%;34,6%;12,1%;Industrials;Marine & Sea;19,4%;5073,0;1,4;4,9;20;4;4;2,10;2,41;238;96,88;117,02;23,8%;44,8;-2,4%;27,5%;31,5%;119,90;NOK;USD;2,41;14,7%;41,0%;306,64
WES;Western Midstream Partners LP;USA;121%;38,9%;6,7%;Energy;Oil & Gas -Transportation;30,7%;15832,9;2,7;13,7;20;5;5;3,61;2,99;3281;39,42;41,28;4,0%;48,4;-5,6%;7,1%;0,0%;41,01;USD;USD;2,99;11,0%;20,4%;48,51
