Company;Info - Ticker;Info - Country;Info - Sector;Info - Industry;Market Cap - Current;P/E - Current;Current r. - Current;Debt-Equity - Current;FCF margin - Average 3y;ROA - Average 5y;MA - MA 50d;MA - MA 200d;Info - Report;F-Score - Point;FS & G & Div. - Point;Earnings - Stable 5y;OP Cash F. - Stable 5y;Price / MA - MA 200d;Performance - Perform. 1y;Performance - Perform. 1m;Performance - Perform. 6m;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Aena SME SA;AENA;Spain;Industrials;Airlines;39483;18,5;1,9;1,0;26,8%;7,0%;26,31;24,40;Q4-2025;8;19;3;5;7,5%;19,9%;-0,5%;15,0%;26,24;EUR;EUR;1,42;9,3%;54,6%;79,6%;60,40
AEP Plantations PLC;AEP;UK;Food and Beverage;Farming;706;11,0;6,2;0,1;12,0%;11,9%;15,67;13,03;Q2-2025;8;23;5;5;37,4%;142,5%;12,2%;29,7%;17,90;GBP;USD;2,24;21,7%;15,5%;19,5%;29,38
Alkermes PLC;ALKS;USA;Health Care;Pharmaceuticals;5738;23,7;3,5;0,4;26,8%;6,8%;31,41;29,72;Q4-2025;6;14;2;5;17,2%;7,1%;15,2%;11,5%;34,84;USD;USD;1,47;16,1%;66,2%;32,6%;43,39
Alvopetro Energy Ltd;ALV;Canada;Energy;Oil & Gas -Exploration;364;13,2;1,1;0,2;28,2%;19,7%;8,18;6,79;Q3-2025;6;15;5;5;43,7%;90,3%;18,4%;44,6%;9,76;CAD;USD;0,53;28,3%;20,4%;25,5%;17,37
Athabasca Oil Corp;ATH;Canada;Energy;Oil & Gas -Exploration;5500;12,4;2,0;0,3;16,9%;17,3%;8,93;7,13;Q3-2025;7;16;3;4;51,5%;91,5%;21,3%;61,4%;10,80;CAD;CAD;0,87;23,0%;30,3%;22,0%;16,14
Azkoyen SA;AZK;Spain;Industrials;Industrial Components;229;13,2;1,9;0,5;13,6%;8,0%;8,97;8,75;Q4-2025;8;22;5;5;7,4%;28,8%;3,3%;7,3%;9,40;EUR;EUR;0,71;12,6%;19,2%;22,3%;14,43
AZZ Inc;AZZ;USA;Industrials;Business Support & Services;3786;11,8;1,7;0,7;13,2%;6,0%;128,24;112,62;Q3-2026;7;16;4;5;12,2%;47,3%;-6,1%;15,8%;126,38;USD;USD;10,73;6,7%;43,6%;59,2%;203,29
Bijou Brigitte Modische;BIJ;Germany;Consumer Durables;Accessories;328;13,7;3,0;0,8;18,2%;6,3%;44,15;40,89;Q2-2025;6;16;4;5;5,2%;13,0%;-6,1%;5,4%;43,00;EUR;EUR;3,13;14,4%;22,7%;22,7%;75,42
Björn Borg;BORG;Sweden;Consumer Durables;Clothing & Footwear;1783;19,4;1,4;1,0;7,7%;11,1%;63,85;61,60;Q4-2025;7;18;5;5;15,1%;35,6%;5,5%;17,0%;70,90;SEK;SEK;3,66;19,1%;-20,3%;37,3%;81,31
Bombardier Inc;BBD;Germany;Industrials;Military & Defense;15920;19,7;1,1;-16,3;8,6%;10,3%;156,66;122,79;Q4-2025;9;14;3;3;31,1%;218,8%;-6,4%;33,1%;161,00;EUR;USD;9,57;22,6%;21,6%;46,7%;230,70
