Company;P/E - Current;Info - Country;Info - Industry;Info - Ticker;ROE - Current;Debt-Equity - Current;FCF margin - Current;Market Cap - Current USD;Performance - Perform. 1y;RS Rank - L - 0-100;Price / MA - MA 50d;Price / MA - MA 150d;Price / MA - MA 200d;MA - 50/150;MA -  50/200;MA - 150/200;MA200 - Trend 1m;Stock price - Price/L 1y;Stock price - Price/H 1y;FS & G & Div. - Point;Earnings - Stable 5y;OP Cash F. - Stable 5y;Stock price - Current;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 3y;FCF growth - Growth 5y;Earnings g. - Growth 3y;Fair value
Acomo NV;11,6;Netherlands;Food Retail;ACOMO;16,70%;1,1;7,80%;891,5;26,70%;68;4,20%;10,50%;13,10%;6,10%;8,50%;2,30%;1,60%;41%;0%;16;5;4;27,25;27,25;EUR;EUR;2,34;9,20%;19,90%;8,10%;32,7
ACT Energy Technologies Ltd;8,6;Canada;Oil & Gas -Drilling;ACX;11,00%;0,8;5,90%;172,8;32,40%;67;7,80%;27,80%;30,40%;18,60%;21,00%;2,00%;3,60%;65%;11%;9;3;4;6,86;6,86;CAD;CAD;0,8;10,00%;22,40%;1,30%;10,56
American Public Education Inc;42,4;USA;Education;APEI;11,40%;0,9;12,60%;1032,6;154,70%;95;20,50%;43,90%;53,60%;19,50%;27,50%;6,70%;8,10%;178%;3%;12;3;5;57,66;57,66;USD;USD;1,36;1,60%;15,00%;30,50%;25,36
Applied Materials Inc;35,5;USA;Semiconductors;AMAT;36,10%;0,7;19,40%;278340,4;139,20%;93;0,80%;28,20%;39,80%;27,30%;38,70%;9,00%;9,20%;182%;12%;21;5;5;348,47;348,47;USD;USD;9,81;38,60%;0,40%;6,30%;198,63
Atria;12;Finland;Food Processing;ATRAV;8,90%;1,2;3,80%;536,4;40,20%;91;0,40%;13,90%;17,30%;13,50%;16,80%;2,90%;3,80%;50%;8%;14;2;5;17,25;17,25;EUR;EUR;1,44;2,80%;3,40%;113,10%;39,48
Baker Hughes Co;23;USA;Oil & Gas - Services;BKR;13,60%;1,2;7,70%;59655,4;34,80%;83;0,70%;16,60%;22,50%;15,70%;21,60%;5,10%;5,50%;80%;10%;11;2;5;60,38;60,38;USD;USD;2,62;11,30%;90,70%;84,60%;79,93
Biosyent Inc;19,5;Canada;Pharmaceuticals;RX;21,60%;0,2;25,40%;124,7;36,60%;57;5,80%;19,80%;23,60%;13,20%;16,80%;3,20%;4,20%;51%;6%;17;5;5;14,89;14,89;CAD;CAD;0,76;50,70%;24,40%;19,80%;16,7
Björn Borg;19,4;Sweden;Clothing & Footwear;BORG;25,50%;1;4,10%;178,3;35,60%;84;11,00%;13,40%;15,10%;2,10%;3,70%;1,50%;1,70%;65%;2%;18;5;5;70,9;70,9;SEK;SEK;3,66;20,10%;-20,30%;21,90%;77,88
BK Technologies Corp;23,4;USA;Communications;BKTI;31,70%;0,6;20,50%;304,6;112,40%;86;3,60%;10,20%;21,10%;6,50%;16,90%;9,80%;6,40%;134%;6%;8;2;3;83,82;83,82;USD;USD;3,58;22,00%;46,20%;44,90%;142,61
Bloomsbury Publishing PLC;20,7;UK;Broadcasting & Publishing;BMY;10,90%;0,8;3,60%;587,5;-3,50%;72;12,90%;15,50%;15,70%;2,30%;2,40%;0,20%;0,80%;31%;12%;17;5;5;5,73;5,73;GBP;GBP;0,28;14,80%;-6,10%;3,50%;5,28
