Company;Info - Ticker;Info - Country;Info - Sector;Info - Industry;Debt-Equity - Current;Profit marg - Current;P/E - Current;Market Cap - Current USD;Canslim - 0-100;P/E - Current;Market Cap - Current SEK;Performance - Perform. 1m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Average 5y;ROIC - Average 3y;FCF growth - Growth 5y;Earnings g. - Growth 3y;Fair value
5th Planet Games;5PG;Norway;Consumer Durables;Gaming;0;66,80%;137,2;56,2;75;137,2;578,4;124,70%;104,90%;2,09;NOK;DKK;0,01;21,70%;7,80%;27,00%;1,7
Abeona Therapeutics Inc;ABEO;USA;Health Care;Biotechnology;0,3;20587,50%;3;247,4;45;3;2528;-4,70%;8,30%;4,82;USD;USD;0,01;4580,10%;15,70%;31,90%;13,37
ACADIA Pharmaceuticals Inc;ACAD;USA;Health Care;Biotechnology;0,3;36,50%;9,6;3737,5;59;9,6;38197,3;-2,70%;36,00%;22,2;USD;USD;0,19;195,90%;26,00%;55,10%;64,45
Advanced Micro Devices Inc;AMD;USA;Technology;Semiconductors;0,2;12,50%;82,7;353220;78;82,7;3609908,5;9,50%;111,60%;217,5;USD;USD;1,53;4,00%;27,50%;45,70%;90,97
Akita Drilling Ltd;AKT.A;Canada;Energy;Oil & Gas -Drilling;0,4;9,90%;6,8;110;69;6,8;1126,4;83,30%;92,80%;3,74;CAD;CAD;0,18;8,00%;55,50%;71,00%;8,28
Almirall SA;E2Z;Germany;Health Care;Pharmaceuticals;0,6;4,20%;55,4;2867,1;94;55,4;29192,5;-2,20%;23,50%;12,18;EUR;EUR;0,01;0,40%;28,50%;122,40%;5,29
Amer Sports Inc;AS;USA;Consumer Durables;Leisure;0,7;6,50%;43,4;18557,3;67;43,4;189655,2;-11,90%;24,60%;33,4;USD;USD;0,01;1,30%;46,80%;53,70%;24,26
American Public Education Inc;APEI;USA;Industrials;Education;0,9;4,90%;42,4;1032,6;94;42,4;10553,2;25,20%;154,70%;57,66;USD;USD;0,01;1,60%;15,00%;30,50%;32,45
American Superconductor Corp;AMSC;USA;Industrials;Industrial Machinery;0,3;46,70%;10,3;1313,8;63;10,3;13427,5;-2,80%;74,40%;32,09;USD;USD;0,19;5,20%;31,20%;64,70%;39,33
Array Digital Infrastructure Inc;AD;USA;Telecom;Telecom Services;0,8;29,90%;24,2;4123,6;69;24,2;42143;-0,60%;-31,10%;48;USD;USD;0,64;0,40%;92,10%;78,20%;23,25
Aurinia Pharmaceuticals Inc;AUPH;USA;Health Care;Biotechnology;0,3;101,50%;7,3;2097,5;93;7,3;21436,1;9,90%;93,90%;15,61;USD;USD;0,01;17,30%;28,90%;68,90%;18,08
