Company;Info - Ticker;Info - Country;Div. Payout - Current;FCF margin - Current;Revenue g. - Growth 5y;Info - Industry;Profit marg - Current;Market Cap - Current USD;Debt-Equity - Current;P/E - Current;FS & G & Div. - Point;Earnings - Stable 5y;Dividend - Stable 5y;Dividend - Current;Earnings/share - Current;Magic - Rank;MA - MA 200d;MA - MA 50d;Price / MA - MA 200d;RSI - RSI(14);Performance - Perform. 1m;Performance - Perform. 6m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
A.b.p. Nocivelli SpA;9UZ;Germany;16%;21,5%;4,9%;Oil & Gas - Marketing;14,0%;206,0;0,4;16,2;12;5;2;0,06;0,38;312;6,11;6,37;0,7%;51,3;-1,6%;0,8%;28,1%;6,15;EUR;EUR;0,38;53,4%;20,6%;8,7%;6,78
Altria Group Inc;MO;USA;101%;44,7%;-0,7%;Tobacco;34,5%;110674,1;-11,1;16,0;18;5;5;4,16;4,12;676;62,54;65,87;5,2%;50,2;-4,3%;0,0%;11,9%;65,76;USD;USD;4,12;29,7%;4,7%;11,4%;78,92
Alvopetro Energy Ltd;A6Y0;Germany;74%;10,7%;35,9%;Oil & Gas -Exploration;37,7%;231,7;0,2;12,5;15;5;4;0,39;0,53;725;4,05;4,88;39,6%;60,7;14,4%;31,4%;76,6%;5,65;EUR;USD;0,53;28,3%;20,4%;25,5%;10,96
Applied Industrial Technologies;AIT;USA;17%;9,6%;8,0%;Industrial Components;8,5%;10129,3;0,7;25,1;20;5;5;1,84;10,64;2939;262,03;272,00;1,9%;51,1;-5,8%;3,1%;16,4%;267,12;USD;USD;10,64;17,5%;16,4%;23,3%;240,03
AQ Group;AQ;Sweden;24%;6,8%;13,5%;Industrial Components;7,5%;1749,3;0,5;25,8;15;5;4;1,80;7,38;3173;188,08;187,97;1,4%;56,6;3,8%;6,4%;21,1%;190,70;SEK;SEK;7,38;14,1%;5,3%;16,4%;168,27
Ardmore Shipping Corp;A61;Germany;48%;-14,1%;7,0%;Marine & Sea;11,5%;586,3;0,2;19,4;13;3;3;0,38;0,79;4135;10,39;12,20;25,6%;55,0;-10,2%;28,3%;45,0%;13,05;EUR;USD;0,79;12,3%;-217,5%;44,9%;21,91
Azkoyen SA;AKK;Germany;54%;14,3%;13,0%;Industrial Components;8,2%;250,7;0,5;13,2;21;5;2;0,38;0,71;644;8,66;8,85;7,8%;58,2;2,4%;7,1%;29,7%;9,34;EUR;EUR;0,71;12,6%;19,2%;22,3%;14,76
Bains de Mer Monaco;RJ8;Germany;69%;11,7%;19,3%;Leisure;14,4%;3290,1;0,3;25,5;17;4;4;3,30;4,79;5234;111,88;129,69;9,0%;41,9;-4,7%;13,5%;22,0%;122,00;EUR;EUR;4,79;19,9%;31,6%;28,3%;135,65
Bic;BIF;Germany;105%;10,5%;5,6%;Personal Products;8,3%;2419,8;0,6;12,5;20;5;5;4,50;4,28;830;52,30;54,11;1,9%;50,0;0,0%;1,9%;-14,9%;53,30;EUR;EUR;4,28;14,1%;11,1%;15,5%;77,04
Boston Pizza Royalties Income;BPF.UN;Canada;77%;61,0%;9,7%;Restaurants & Cafés;81,3%;385,3;0,5;12,4;17;5;5;1,52;1,98;2035;21,76;24,31;12,5%;53,2;-3,5%;16,1%;43,4%;24,47;CAD;CAD;1,98;9,5%;9,1%;35,1%;34,78
Brady Corp;BRC;USA;23%;9,0%;6,1%;Security;12,7%;3836,8;0,4;19,5;18;5;5;0,96;4,13;2376;78,87;87,94;2,4%;37,0;-12,5%;3,2%;13,3%;80,73;USD;USD;4,13;16,6%;2,6%;10,6%;80,58
Cactus Inc;WHD;USA;22%;25,0%;25,4%;Oil & Gas - Services;15,4%;3276,7;0,3;19,7;14;5;5;0,54;2,42;2047;45,31;52,50;5,5%;46,1;-9,9%;25,0%;3,2%;47,79;USD;USD;2,42;13,0%;18,5%;27,1%;53,39
Cairn Homes PLC;C5H;Germany;52%;13,6%;24,3%;Homebuilding;12,8%;1460,2;0,7;13,4;14;5;4;0,08;0,16;2508;2,10;2,23;0,6%;43,4;-11,1%;9,4%;10,6%;2,12;EUR;EUR;0,16;9,1%;60,9%;56,2%;2,99
Cardinal Energy Ltd;CJ;Canada;150%;-4,2%;19,7%;Oil & Gas -Exploration;13,7%;1295,6;0,6;22,8;11;4;4;0,72;0,48;4476;8,41;10,00;30,2%;58,4;10,7%;41,5%;68,5%;10,95;CAD;CAD;0,48;16,5%;-211,8%;16,5%;9,00
CCL Industries Inc;CCL.B;Canada;28%;11,3%;7,9%;Packaging;10,5%;11328,6;0,8;19,1;20;5;5;1,28;4,59;2308;82,74;86,96;5,9%;52,8;-6,6%;12,1%;25,7%;87,63;CAD;CAD;4,59;10,3%;7,0%;9,2%;75,06
Cembre SpA;J0L;Germany;69%;12,8%;11,8%;Electrical Components;19,0%;1264,0;0,3;25,2;18;5;5;1,88;2,71;2560;63,13;68,09;8,2%;58,7;-6,6%;25,8%;48,6%;68,30;EUR;EUR;2,71;19,9%;7,1%;19,1%;50,29
Clarkson PLC;CKN;UK;44%;12,1%;12,6%;Marine & Sea;11,6%;1823,9;0,6;19,2;16;4;5;1,09;2,45;1133;37,95;43,52;24,2%;66,1;5,8%;29,7%;39,3%;47,15;GBP;GBP;2,45;89,5%;13,1%;35,6%;68,30
Coca-Cola Consolidated Inc;COKE;USA;15%;8,7%;7,6%;Beverages;7,9%;16296,5;-6,8;28,5;16;5;5;1,00;6,82;2526;144,52;182,47;34,7%;53,1;-5,7%;63,2%;40,2%;194,69;USD;USD;6,82;16,9%;22,7%;30,0%;176,99
