Total scored: 199 | Eligible: 139

TICKER     COMPANY                          STRATEGY  SCORE STARS
----------------------------------------------------------------------
EVO        Evolution                        KING       90.4 ★★★★★
CIX        Compx International Inc          KING       88.5 ★★★★★
MPE        M P Evans Group PLC              KING       87.8 ★★★★★
GTT        Gaztransport et technigaz SA     KING       86.8 ★★★★★
AEP        AEP Plantations PLC              KING       86.7 ★★★★★
VAN        Van de Velde NV                  KING       86.6 ★★★★★
TSTL       Tristel PLC                      KING       85.0 ★★★★★
BSM        Black Stone Minerals LP          KING       84.9 ★★★★☆
BETS B     Betsson                          KING       84.4 ★★★★☆
STNG       Scorpio Tankers Inc              KING       84.0 ★★★★☆
TRI        Trigano SA                       KING       82.9 ★★★★☆
EOG        EOG Resources Inc                KING       82.2 ★★★★☆
NRP        Natural Resources Partners LP    KING       82.0 ★★★★☆
CALM       Cal-Maine Foods Inc              KING       80.3 ★★★★☆
GAMA       Gamma Communications PLC         KING       80.1 ★★★★☆
ARLP       Alliance Resource Partners LP    KING       80.0 ★★★★☆
PSI        Pason Systems Inc                KING       79.9 ★★★★☆
JHD        James Halstead PLC               KING       79.3 ★★★★☆
EQS        Equasens                         KING       77.6 ★★★★☆
TFW        Thorpe PLC                       KING       76.9 ★★★★☆
FPE        Fuchs SE                         KING       76.3 ★★★★☆
LPG        Dorian LPG Ltd                   QUEEN      76.1 ★★★★☆
CTSH       Cognizant Technology Solutions   KING       75.9 ★★★★☆
CMRE       Costamare Inc                    QUEEN      75.8 ★★★★☆
HLAG       Hapag-Lloyd AG                   KING       75.7 ★★★★☆
HSP        Hargreaves Services PLC          KING       75.4 ★★★★☆
MONY       Mony Group PLC                   KING       75.3 ★★★★☆
WAWI       Wallenius Wilhelmsen             QUEEN      75.2 ★★★★☆
EBF        Ennis Inc                        KING       74.8 ★★★★☆
DAC        Danaos Corp                      QUEEN      74.8 ★★★★☆
ZIM        ZIM Integrated Shipping Service  QUEEN      74.6 ★★★★☆
AOS        A.O. Smith Corp                  KING       74.3 ★★★★☆
MATX       Matson Inc                       QUEEN      74.2 ★★★★☆
HEE        Hellenic Exchanges - Athens Sto  QUEEN      74.1 ★★★★☆
ESEA       Euroseas Ltd                     QUEEN      74.0 ★★★★☆
CTRA       Coterra Energy Inc               KING       73.3 ★★★★☆
WEYS       Weyco Group Inc                  KING       73.1 ★★★★☆
NICL       Nichols PLC                      KING       73.0 ★★★★☆
MRK        Merck KGaA                       KING       72.9 ★★★★☆
SD         SandRidge Energy Inc             QUEEN      72.8 ★★★★☆
DMLP       Dorchester Minerals LP           KING       72.6 ★★★★☆
TLK        Toll Brothers Inc                QUEEN      72.6 ★★★★☆
WWIB       Wilh. Wilhelmsen B               KING       72.4 ★★★★☆
9TG        Gaztransport et technigaz SA     QUEEN      72.4 ★★★★☆
ZM         Zoom Communications Inc          QUEEN      72.3 ★★★★☆
ESP        Espey Manufacturing & Electroni  QUEEN      72.0 ★★★★☆
SA2D       SandRidge Energy Inc             QUEEN      71.7 ★★★★☆
N4Q1       Hemisphere Energy Corp           JACK       71.6 ★★★★☆
MPCC       MPC Container Ships              JACK       71.6 ★★★★☆
MPTI       M-Tron Industries Inc            QUEEN      71.5 ★★★★☆
