Company;Info - Ticker;Info - Sector;Info - Industry;Info - Country;EV/EBITDA - Current;FCF margin - Current;Gross marg - Average 1y;Debt-Equity - Current;P/B - Current;Earnings - Stable 5y;Market Cap - Current USD;F-Score - Point;P/E - Current;MA - MA 20d;Price / MA - MA 20d;Performance - Perform. 1m;Performance - Perform. 1y;Stock price - Current;Info - Report Currency;Info - Price Currency;Earnings/share - Average 5y;ROIC - Current;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
ACI Worldwide Inc;ACIW;Technology;IT Services;USA;11,3;19,9%;50,5%;1,0;2,8;5;4296,5;7;19,0;40,58;1,8%;2,4%;-27,1%;41,33;USD;USD;1,51;10,3%;10,9%;28,6%;56,46
Aramis Group SA;6T6;Consumer Durables;Auto & Equipment;Germany;5,5;3,4%;8,5%;1,9;1,5;1;345,0;8;15,8;3,77;0,6%;3,4%;-49,9%;3,79;EUR;EUR;0,01;7,0%;26,6%;77,0%;4,90
Azelis Group NV;AZE;Materials;Chemicals;Belgium;8,6;5,7%;23,3%;1,0;0,8;5;2393,4;6;19,4;7,85;13,9%;10,7%;-45,7%;8,94;EUR;EUR;0,63;2,5%;18,4%;8,7%;14,96
Baltic Classifieds Group PLC;BCG;Technology;Online Services;UK;15,4;67,6%;100,0%;0,1;2,9;4;1138,3;8;20,8;1,84;2,1%;3,3%;-39,0%;1,88;EUR;GBP;0,06;14,7%;30,0%;248,9%;3,22
Barrett Business Services Inc;BBSI;Industrials;Outsourcing;USA;8,9;5,1%;21,9%;2,2;3,1;5;757,6;6;13,9;28,50;3,8%;6,1%;-28,8%;29,58;USD;USD;1,79;25,2%;9,5%;13,8%;36,20
Betsson;BETS B;Consumer Durables;Gambling & Casinos;Sweden;3,6;13,7%;64,8%;0,5;1,4;5;1451,6;7;7,3;97,96;3,8%;9,4%;-34,8%;101,70;EUR;SEK;1,11;23,1%;19,1%;12,3%;280,57
Bilendi SA;ALBLD;Consumer Durables;Advertising;France;6,9;5,8%;66,3%;2,4;1,6;5;74,4;5;13,3;14,10;4,3%;10,5%;-27,6%;14,70;EUR;EUR;0,93;4,9%;15,6%;17,6%;26,02
Bonesupport;BONEX;Health Care;Biotechnology;Sweden;57,4;18,3%;92,5%;0,2;16,3;2;1430,1;8;99,2;191,21;12,0%;8,3%;-31,8%;214,20;SEK;SEK;1,11;28,8%;31,1%;26,6%;58,41
Booz Allen Hamilton Holding Corp;BAH;Industrials;Business Consultants;USA;11,2;8,1%;53,8%;5,9;10,0;5;10260,7;5;12,3;79,13;5,0%;6,8%;-22,6%;83,13;USD;USD;4,83;18,8%;1,4%;9,0%;114,87
Bright Horizons Family Solutions;BFAM;Industrials;Business Support & Services;USA;15,6;9,3%;23,1%;1,9;3,6;5;4772,6;8;24,7;78,54;6,7%;11,9%;-34,0%;83,81;USD;USD;1,93;7,0%;25,2%;49,8%;89,58
BTS Group;BTS B;Industrials;Business Consultants;Sweden;7,9;1,0%;12,5%;1,2;1,9;5;275,0;6;20,6;140,33;1,0%;6,6%;-46,9%;141,80;SEK;SEK;11,85;8,1%;-22,7%;30,5%;123,28
Cars.com Inc;CARS;Technology;Online Services;USA;6,0;18,4%;82,7%;1,2;1,1;4;517,8;7;25,9;8,01;3,6%;3,2%;-27,0%;8,30;USD;USD;0,65;2,2%;2,8%;15,2%;20,03
CGI Inc;GIB;Technology;IT Services;USA;8,2;13,0%;16,4%;0,9;2,2;5;16304,0;5;13,4;72,85;1,6%;2,2%;-26,6%;73,98;CAD;USD;7,10;12,6%;7,5%;6,5%;129,40
Computer Modelling Group Ltd;CMG;Technology;IT Services;Canada;10,4;17,0%;80,8%;1,2;4,2;5;269,6;6;22,0;3,95;11,2%;6,7%;-45,2%;4,39;CAD;CAD;0,25;14,9%;-4,4%;-4,4%;5,94
Corcept Therapeutics Inc;CORT;Health Care;Biotechnology;USA;86,7;18,8%;98,4%;0,3;6,8;5;4413,1;5;44,7;35,72;19,0%;18,1%;-53,8%;42,49;USD;USD;1,05;33,4%;0,4%;0,6%;27,42
Delcath Systems Inc;DCTH;Health Care;Medical Equipment;USA;252,6;28,2%;81,9%;0,1;3,1;;345,0;5;120,4;9,31;3,4%;7,8%;-23,4%;9,63;USD;USD;0,01;12,5%;16,1%;15,0%;6,76
Docusign Inc;DOCU;Technology;IT Services;USA;23,4;30,7%;79,2%;1,0;5,0;2;9808,8;6;32,2;47,56;1,7%;4,8%;-41,5%;48,37;USD;USD;1,25;22,3%;44,2%;25,8%;53,35
DXC Technology Co;DXC;Technology;IT Services;USA;2,6;11,8%;24,4%;2,9;0,7;3;2255,8;7;5,4;12,11;4,5%;3,9%;-27,0%;12,66;USD;USD;1,07;5,6%;38,1%;43,1%;44,74
Edreams Odigeo SA;EDR;Consumer Durables;Leisure;Spain;4,5;12,9%;100,0%;3,5;1,5;2;407,4;8;4,7;3,05;5,5%;10,3%;-56,5%;3,22;EUR;EUR;0,08;13,7%;22,4%;21,2%;7,77
Elevance Health Inc;ELV;Health Care;Healthcare Facilities;USA;10,9;3,2%;100,0%;1,8;1,5;5;67365,8;5;11,9;291,04;3,3%;2,3%;-30,5%;300,74;USD;USD;25,26;4,7%;10,4%;6,8%;454,95
Engcon;ENGCON B;Industrials;Industrial Components;Sweden;27,3;3,1%;43,1%;0,7;14,7;5;1006,4;5;46,2;63,21;4,4%;4,1%;-29,3%;66,00;SEK;SEK;1,76;28,3%;-27,0%;0,7%;54,44
Eviso SpA;EVISO;Utilities;Electric Utilities;Italy;17,1;1,2%;43,4%;2,6;9,2;3;213,7;7;39,5;7,76;6,3%;8,5%;-27,0%;8,25;EUR;EUR;0,07;105,0%;73,5%;34,6%;17,06
FactSet Research Systems Inc;FDS;Industrials;Information Services;USA;10,4;21,9%;53,1%;0,9;4,0;5;8600,6;8;14,3;209,23;8,8%;3,5%;-50,2%;227,68;USD;USD;13,69;17,3%;1,7%;8,5%;246,64
Fenix Outdoor;FOI B;Consumer Durables;Clothing & Footwear;Sweden;8,0;1,7%;58,1%;0,9;1,5;5;641,4;5;122,3;452,85;5,2%;4,0%;-22,3%;476,50;EUR;SEK;2,52;1,1%;-33,3%;-32,2%;182,57
Fractal Gaming;FRACTL;Technology;Computer Hardware;Sweden;6,7;-1,5%;40,6%;0,6;1,2;4;51,3;5;15,9;15,59;12,9%;23,6%;-53,7%;17,60;SEK;SEK;1,20;8,0%;-190,6%;-17,4%;16,42
Freshworks Inc;FRSH;Technology;IT Services;USA;42,6;26,2%;84,2%;0,6;2,3;;2421,8;5;13,2;8,09;2,8%;3,0%;-41,9%;8,32;USD;USD;0,01;56,8%;95,5%;25,1%;12,34
H&R Block Inc;HRB;Industrials;Business Support & Services;USA;7,1;19,2%;44,4%;-4,6;-5,1;5;4229,7;6;7,3;31,13;3,4%;4,0%;-42,9%;32,18;USD;USD;4,01;31,9%;6,2%;7,1%;65,46
HighPeak Energy Inc;HPK;Energy;Oil & Gas -Exploration;USA;2,8;-1,6%;33,6%;1,0;0,5;4;860,4;5;17,7;6,48;6,5%;20,0%;-46,3%;6,90;USD;USD;1,06;1,8%;13,3%;38,4%;17,91
Hikma Pharmaceuticals PLC;HIK;Health Care;Pharmaceuticals;UK;6,8;6,3%;49,7%;1,2;1,5;5;3608,7;6;10,6;12,49;3,6%;3,4%;-33,7%;12,94;USD;GBP;1,36;11,4%;-12,0%;-1,7%;17,18
Hilton Food Group PLC;HFG;Food and Beverage;Food Processing;UK;6,4;0,7%;12,2%;3,0;1,5;5;597,5;6;12,2;5,01;6,1%;2,3%;-35,6%;5,31;GBP;GBP;0,39;5,7%;90,6%;-2,2%;8,88
