Company;Info - Ticker;Info - Sector;Info - Industry;EV/EBITDA - Current;FCF margin - Current;Gross marg - Average 1y;Debt-Equity - Current;P/B - Current;Earnings - Stable 5y;Market Cap - Current USD;F-Score - Point;P/E - Current;MA - MA 20d;Price / MA - MA 20d;Performance - Perform. 1m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Average 5y;ROIC - Current;Earnings g. - Growth 5y;Own;Börsdata;Perplex;Fair value avg;Ticker,Company,Morningstar_FV,ValueInvesting_FV,AlphaSpread_FV,Currency,Date,Source
ACI Worldwide Inc;ACIW;Technology;IT Services;10,3;16,40%;50,50%;1;2,8;5;4250,8;7;18,8;40,73;0,40%;6,30%;-22,90%;40,89;USD;USD;1,51;10,30%;28,60%;29;37;87,7;51,2;ACIW,ACI Worldwide Inc,87.71,,,USD,2026-01-26,Morningstar [code_file:287]
Betsson;BETS B;Consumer Durables;Gambling & Casinos;3,5;13,70%;64,80%;0,5;1,4;5;1398;7;7;96,1;1,90%;6,10%;-37,80%;97,95;SEK;EUR;1,11;23,10%;12,30%;232;239;342;271,0;BETS B,Betsson,,342.77,,SEK,2025-03-17,AlphaSpread [code_file:287]
BlackLine Inc;BL;Technology;IT Services;24,8;19,30%;75,30%;4,2;7,4;2;2458,4;7;100,1;36,61;9,30%;22,90%;-20,40%;40,02;USD;USD;0,28;8,60%;19,90%;5;6,9;44;18,6;BL,BlackLine Inc,,,44.00,USD,2026-03-20,SimplyWallSt [code_file:287]
Bright Horizons Family Solutions;BFAM;Industrials;Business Support & Services;14,9;8,80%;23,10%;1,9;3,3;5;4449,7;8;23,1;76,1;2,70%;9,40%;-37,40%;78,14;USD;USD;1,93;6,90%;49,80%;34;107;97;79,3;BFAM,Bright Horizons Family Solutions,,,97.11,USD,2026-03-13,Analys [code_file:287]
Docebo Inc;DCBO;Technology;IT Services;16,9;11,20%;80,80%;1,8;7,6;3;571,8;7;15,1;25,89;4,00%;19,30%;-37,40%;26,93;CAD;USD;0,42;425,70%;46,20%;16;56;30;34,0;DCBO,Docebo Inc,,30.24,,CAD,2025-10-24,ValueInvesting.io [code_file:287]
Docebo Inc;61;Technology;IT Services;18,3;11,20%;80,80%;1,8;7,7;3;529;7;15,1;16,06;4,40%;20,40%;-39,20%;16,76;EUR;USD;0,42;425,70%;46,20%;11;;;11,0;
Docusign Inc;DOCU;Technology;IT Services;19,7;32,90%;79,20%;1,2;5,1;2;9859,4;6;31,9;46,94;3,90%;16,90%;-44,60%;48,79;USD;USD;1,25;23,40%;25,90%;27;28;85;46,7;DOCU,Docusign Inc,85.40,,,USD,2026-02,Morningstar
Dynatrace Inc;DT;Technology;IT Services;37,3;23,90%;81,40%;0,5;4,2;5;11517,1;7;62,8;37,83;1,30%;13,90%;-23,10%;38,32;USD;USD;0,66;10,70%;17,70%;11;11;62;28,0;DT,Dynatrace Inc,62.50,,,USD,2026-03,AlphaSpread
Evertec Inc;EVTC;Technology;IT Services;7,7;14,50%;51,10%;2,5;3;5;1840,4;8;13;28,22;2,40%;12,10%;-22,40%;28,89;USD;USD;2,18;8,60%;8,90%;33;30;52;38,3;EVTC,Evertec Inc,52.10,,,USD,Recent,ValueInvesting
ExlService Holdings Inc;EXLS;Technology;IT Services;13,1;14,30%;37,70%;0,9;5,4;5;4972,6;7;19,8;30,84;0,10%;8,30%;-33,40%;30,88;USD;USD;1,09;23,90%;24,50%;24;27;45;32,0;EXLS,ExlService Holdings Inc,45.20,,,USD,2026-01,Morningstar
Grindr Inc;GRND;Technology;IT Services;18,5;30,20%;74,40%;10,3;51,1;3;2402,3;7;28,1;11,9;6,20%;12,30%;-27,10%;12,64;USD;USD;-0,11;26,40%;58,90%;;9,3;28;18,7;GRND,Grindr Inc,28.50,,,USD,Recent,AlphaSpread
H&R Block Inc;HRB;Industrials;Business Support & Services;6,1;13,80%;48,40%;-4,6;-5;5;4150,8;6;7,3;30,93;2,10%;8,90%;-39,80%;31,58;USD;USD;4,09;32,00%;14,90%;92;65;65;74,0;HRB,H&R Block Inc,65.80,,,USD,2026-02,Morningstar
Intuit Inc;INTU;Technology;IT Services;20;34,00%;79,70%;0,8;6,7;5;127737,1;9;29,4;437,66;4,40%;27,10%;-24,30%;457,02;USD;USD;11,16;20,90%;15,20%;211;234;785;410,0;INTU,Intuit Inc,785.00,,,USD,2026-03,Morningstar
Kyndryl Holdings Inc;KD;Technology;IT Services;3,5;2,00%;21,10%;8,3;2,5;1;2978,5;7;11,9;12,6;2,80%;13,50%;-62,50%;12,95;USD;USD;0;5,10%;16,20%;0;16;32;16,0;KD,Kyndryl Holdings Inc,32.10,,,USD,Recent,ValueInvesting
Lumine Group Inc;LMN;Technology;IT Services;15,5;30,30%;49,30%;0,7;5,5;;4523,4;7;38;23,27;2,40%;23,50%;-39,60%;23,82;CAD;USD;0;14,90%;;14;9,5;12;11,8;LMN,Lumine Group Inc,12.85,,,GBP,2026-01,AlphaSpread
Nemetschek SE;NEM;Technology;IT Services;22,4;32,90%;59,40%;1,3;9,2;5;8777;8;39;68,18;1,30%;5,30%;-40,30%;69,1;EUR;EUR;1,45;17,70%;16,10%;26;26;98;50,0;NEM,Nemetschek SE,98.50,,,EUR,2026-02,Morningstar
Nutanix Inc;NTNX;Technology;IT Services;32,4;28,90%;86,80%;-4,9;-13,1;1;10848,6;6;40,8;39,79;1,50%;8,10%;-44,70%;40,39;USD;USD;0;-304,70%;17,10%;0;15;95;36,7;NTNX,Nutanix Inc,95.40,,,USD,Recent,AlphaSpread
Okta Inc;OKTA;Technology;IT Services;34,4;29,60%;76,40%;0,4;2;1;14264;7;61;77,16;5,10%;16,70%;-28,70%;81,1;USD;USD;0;5,10%;21,40%;0;20;125;48,3;OKTA,Okta Inc,125.00,,,USD,2026-03,Morningstar
